,Name,Latitude,Longitude,Altitude,zona_allertamento
MROSS,Monterosso,44.1483,9.6402,75,C
MSETT,Monte Settepani,44.24398,8.19581,1375,D
MTECA,Monte Cappellino,44.54856,8.95422,620,B
MTMEZ,Monte di Mezzo,44.5598,9.43978,1250,E
MTPOR,Monte Portofino,44.32709,9.16912,610,B
MURIA,Murialdo,44.31321,8.15981,523,D
NOVGA,Novegigola,44.22178,9.89976,420,nan
OGNIO,Ognio,44.44372,9.16994,490,C
ONZPO,Onzo - Ponterotto,44.05719,8.04134,115,A
ORERO,Croce Orero,44.42422,9.28492,640,C
OSIGL,Osiglia,44.28647,8.20254,620,D
PANES,Panesi,44.34209,9.35624,25,C
PARAN,Parana,44.28217,9.86331,695,nan
PATIG,Patigno,44.35471,9.76448,744,nan
PBATT,Piana Battolla - Ponte,44.19801,9.84904,48,C
PCERR,Passo del Cerreto,44.30427,10.21676,1250,nan
PDVRM,Padivarma,44.19514,9.77099,75,C
PFEAR,Poggio Fearza,44.04202,7.79343,1845,A
PIAMP,Piampaludo,44.4623,8.58092,882,D
PIGNA,Pigna,43.93209,7.65607,250,A
PIGNO,Casale di Pignone,44.18992,9.71496,175,C
PITLL,Pitelli,44.09562,9.88761,132,C
PNTCA,Pontremoli - La Costa,44.36957,9.89257,340,nan
PNTRM,Pontremoli Depuratore,44.36932,9.88311,226,nan
PORNA,Pornassio,44.06393,7.86644,475,A
PRAIC,Prai,44.51775,8.67306,820,D
PREMA,Premanico,44.41681,9.00911,234,B
PRMLO,Pratomollo,44.47287,9.45876,1520,C
PRTTI,Pian dei Ratti,44.39365,9.27102,70,C
PTECO,Pieve di Teco,44.04952,7.91473,263,A
PTURC,Passo del Turchino,44.48613,8.73602,590,B
PVENE,Portovenere - Comune,44.052,9.83594,40,C
PZGLI,Pizzeglio,43.91862,7.69454,655,A
RANZO,Ranzo,44.06542,8.00433,343,A
RAPAL,Rapallo,44.35453,9.20928,40,C
RCSIG,Rocca Sigillina,44.36665,9.95609,484,nan
REPPI,Reppia,44.37488,9.45774,530,C
RICCO,Ricco' del Golfo,44.15319,9.76373,150,C
RIGHI,Genova - Castellaccio,44.42797,8.93433,360,B
ROCNE,Rocchetta Nervina,43.88859,7.60177,215,A
ROSGL,Rossiglione,44.57232,8.65776,289,D
ROVEG,Rovegno,44.57722,9.28306,650,E
SALBE,Bargagli,44.43845,9.10735,702,B
SANDA,Sanda,44.36189,8.5273,180,B
SANTU,Santuario di Savona,44.34555,8.43753,90,B
SASSL,Sassello,44.48233,8.48572,385,D
SCIAR,Sciarborasca,44.40645,8.62464,225,B
SCURT,Scurtabo',44.40681,9.53384,685,C
SEBOR,Seborga,43.82756,7.6985,550,A
SEGIA,Sella Giassina,44.48758,9.18206,895,C
SEGOD,Sesta Godano,44.29848,9.67751,265,C
SLEVA,Sestri Levante,44.27377,9.40992,10,C
SLPSS,Sestri Levante - PonteSS1,44.26672,9.4259,13,C
SMARG,S. Margherita Ligure,44.3362,9.21045,30,C
SMVAR,S. Margherita Vara,44.2747,9.65964,180,C
SOLIE,Soliera,44.20233,10.06207,107,nan
SPZIA,La Spezia,44.10703,9.82819,35,C
SREMO,Sanremo,43.82265,7.78625,61,A
SRZAN,Sarzana,44.11227,9.96546,26,C
SSGIU,Stella S. Giustina,44.41582,8.48252,349,B
SSTAV,S. Stefano d'Aveto,44.54886,9.45118,1019,E
STALE,Statale,44.35048,9.48082,593,C
STBUR,Stella - Burdone,44.4061,8.50244,570,B
STILA,Genova - S.Ilario,44.384,9.06066,174,B
SZIGN,Sero' di Zignago,44.26434,9.73698,580,C
TAGLT,Taglieto,44.4053,9.6205,895,C
TANOR,Tanadorso,44.61948,8.91803,770,E
TASNI,Tassani,44.29552,9.44927,320,C
TAVRN,Tavarone,44.31274,9.54859,603,C
TESTI,Testico,44.00653,8.03517,439,A
TNDLA,Tendola,44.15601,10.03381,410,nan
TOGAR,Torriglia - Garaventa,44.52931,9.17495,1032,E
TRIOR,Triora,43.99451,7.76242,789,A
TRRIG,Torriglia,44.51685,9.15962,769,E
TURAN,Turano,44.24644,10.15168,500,nan
URVAS,Urbe - Vara Sup.,44.46953,8.62739,810,D
VALIG,Varese Ligure,44.38313,9.5842,345,C
VALZE,Valzemola,44.36959,8.19105,480,D
VBGOR,Valbrevenna - Gorra,44.53176,9.02329,680,E
VERDE,Verdeggia,44.04425,7.72108,1120,A
VERZI,Verzi Loano,44.16397,8.22002,450,A
VFLUN,Villafranca Lunigiana,44.29114,9.94859,121,nan
VICOM,Vicomorasso,44.48555,8.97849,310,B
VIGAN,Viganego,44.42846,9.06348,430,B
VLFOL,Villafranca - Fornoli,44.25042,9.96878,156,nan
VREGI,Valleregia,44.52038,8.94744,407,B
XXMIG,Ventimiglia,43.78777,7.61211,21,A
